Name,Category,Platforms,Custody Model,In-app DEX Swap,NFT Gallery,In-app Staking,Fiat On/Off Ramp,Push Notifications,Solana Pay QR,Multi-Chain,Open Source,Version Tested,Date Tested,Notes,Logos,weblink
Phantom,Hot Wallet,iOS;Android;Chrome;Firefox; Edge;Brave,self-custody,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,25.25.0,2024-01-15,"Most popular Solana wallet, with one-tap Solana Pay support.",https://res.cloudinary.com/dudvreynj/image/upload/v1752611403/phatom_wallet_kovwwg.png,https://phantom.com/
Solflare,Hot Wallet,iOS;Android;Chrome;Web;Desktop,self-custody,Yes,Yes,Yes,No,Yes,Yes,No,No,2.1.1,2025-07-11,The first dedicated Solana wallet with one-tap Solana Pay support.,https://res.cloudinary.com/dwuuum7az/image/upload/v1752651466/siosolfalre_cayugq.png,https://www.solflare.com/
Exodus,Hot Wallet,"iOS;Android;Desktop;Web,MacOs,Brave,Linux",self-custody,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,25.28.7,2025-07-08,Exodus offers one-tap Solana Pay via QR code scanning.,https://res.cloudinary.com/dwuuum7az/image/upload/v1752672512/exodus_ugsxwa.png,https://www.exodus.com/download
Coinbase Wallet,Hot Wallet,iOS;Android;Chrome;Brave,self-custody,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,29.49,2025-07-01,"Beginner-friendly, Coinbase integration",https://res.cloudinary.com/dwuuum7az/image/upload/v1752675096/aicoinbase_cuqsre.png,
Atomic Wallet,Hot Wallet,iOS; Android;Desktop;Chrome;Brave;Linux;window;macos,self-custody,Yes,Yes,Yes,Onramp,Yes,Yes,Yes,No,2.91.13,2025-06-27,"Atomic Wallet's Solana Pay: buried, sync errors, UX needs polish",https://res.cloudinary.com/dwuuum7az/image/upload/v1752675698/aiatomic_mfw3fm.png,https://atomicwallet.io/
Glow,Hot Wallet,iOS;Android;Firefox;Chrome,self-custody,Yes,Yes,Yes,No,No,Yes,No,No,1.6.2,2023-05-12,"One‑tap deep‑link; occasional buried flow. Devnet errors, adapter quirks. Smooth UX.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752697580/aiglow_dsrquv.jpg,https://glow.app/
Backpack,Hot Wallet,iOS;Android;Chrome;Brave;Arc,self-custody,Yes,Yes,Yes,Onramp,No,Yes,Yes,Yes,2.45.0,2025-07-09,"One-tap QR prominence; buried links. Focuses on scanning, not deep menus.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752676550/aibag_ixvqmd.png,https://backpack.app/
Trust Wallet,Hot Wallet,iOS;Android;Desktop;Chrome;Brave;Opera;Edge,self-custody,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,11.44,2025-07-10,"Solana Pay in Trust Wallet: functional, but not one-tap.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752677388/aiturst_drblhz.png,https://trustwallet.com/download
Brave Wallet,Hot Wallet,Desktop; Android; iOS,self-custody,Yes,Yes,No,Yes,No,No,Yes,Yes,1.62.0,2024-01-15,"Built into Brave browser, privacy-focused",https://res.cloudinary.com/dwuuum7az/image/upload/v1752780478/brave-jpg_idcfgp.avif,https://brave.com/wallet/
Robinhood Wallet,Hot Wallet,iOS; Android,self-custody,Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,2025.28.0,2025-07-16,"Robinhood Wallet supports Solana Pay; one-tap streamlined, buried errors persist.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752681853/Airobin_l5ncmi.png,https://robinhood.com/us/en/
OKX Wallet,Hot Wallet,iOS;Android;Chrome;Web;Telegram,self-custody,Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,6.128.0,2025-07-15,"OKX Wallet places Solana Pay behind extra taps, occasional QR errors disrupt flow.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752678109/aiokx_ccssen.png,https://web3.okx.com/
Binance Web3 Wallet,Hot Wallet,iOS; Android,MPC,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.0.3,2025-07-11,Likely accessible but requires multi-step verification due to MPC key management,https://res.cloudinary.com/dwuuum7az/image/upload/v1752679981/aibinance_fasw0z.png,https://www.binance.com/en/binancewallet
Tiplink,Hot Wallet,Web,self-custody,No,Yes,No,yes,no,Yes,No,No,0.3.1,2024-10-17,Frictionless with Google Account,https://res.cloudinary.com/dwuuum7az/image/upload/v1752732463/aitips_xhsvgs.png,https://tiplink.io/
Fuse Wallet,Hybrid,iOS; Android,self-custody,Yes,Yes,Yes,No,Yes,Yes,No,No,1.0.34,2025-07-15,"Fuse Wallet's Solana Pay: one-tap, seamless UX, minimal errors, intuitive.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752680803/aifuse_ibfna9.png,https://fusewallet.com/
Crossmint Non-Custodial,Hot Wallet,web;API,self-custody,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,"Crossmint's non-custodial Solana Pay: one-tap simplicity, minimal errors, seamless UX.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752681475/aixross_t5wzvk.png,https://www.crossmint.com/products/embedded-wallets-as-a-service
Decaf,Hot Wallet,iOS; Android,custodial,Yes,No,No,Yes,Yes,Yes,Yes,No,5.0.76,2025-07-04,"Decaf Wallet: Seamless Solana Pay, intuitive UX.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752679195/aidecaf_a47ulu.png,https://www.decaf.so/en
Bitget Wallet,Hot Wallet,iOS;andriod;Chrome,MPC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.7.0,2025-07-10,Bitget Wallet's Solana Pay: seamless one-tap payments,https://res.cloudinary.com/dwuuum7az/image/upload/v1752682112/aibit_t0bm4z.webp,https://web3.bitget.com/en
Jupiter Wallet,Hot Wallet,iOS;andriod,MPC,Yes,Yes,Yes,Onramp,Yes,Yes,No,No,1.41.0,2025-07-07,"Jupiter Wallet: Seamless one-tap Solana Pay, minimal errors, intuitive UX.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752682450/aijup_puptwk.png,https://jup.ag/mobile
WalletConnect,Protocol,Network,self-custody,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.2.43,2025-05-14,"Open protocol for connecting DApps to mobile wallets. Not a standalone app, protocol/library.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752782168/aimoopwalletconentnthree_jtccrp.png,https://walletconnect.com/
Helium Wallet,Hot Wallet,iOS; Android,self-custody,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2.14.3,2025-05-14,"Dedicated wallet for the Helium Network, manages HNT and other Helium ecosystem tokens. Native Helium blockchain wallet.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752780479/heliumwallet-logo_eig1qf.png,https://www.helium.com/wallets
Para,Hot Wallet,iOS; Android,self-custody,No,No,No,No,No,No,Yes,No,6.2.0,2025-07-08,"Focuses on simplifying Web3 access, social login support. Algorand wallet, new navigation.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752782182/aimopparatwo_rs2c6b.png,https://para.app/
Espresso Cash,Hot Wallet,iOS; Android,self-custody,No,No,No,No,No,No,No,No,1.153.0,2025-06-06,"Mobile-first, focuses on easy peer-to-peer crypto payments. Global money app, stablecoins.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752780478/espressocash-logo_qz32vp.webp,https://espresso.cash/
Ledger Nano S,Hardware Wallet,hardware;Desktop; Mobile,self-custody,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.85,2025-07-08,"Entry-level hardware wallet, secure offline storage of private keys. Universal for Ledger devices.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752782175/aimopone_xvq4wg.png,https://www.ledger.com/
Trezor Safe 3,Hardware Wallet,hardware;Desktop; Web,self-custody,Yes,No,Yes,Yes,No,No,Yes,Yes,25.5.3,2025-06-09,"Secure element chip, touchscreen, focuses on ease of use and security. Universal for Trezor models.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752780480/trezor-logo_mi4lu1.png,https://trezor.io/
SafePal S1 Pro,Hardware Wallet,hardware;iOS; Android,self-custody,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.8.20,2025-05-14,"Enhanced version of S1, improved build quality and features. Universal SafePal hardware app.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752782161/aimoopsafepalrthree_zpq07e.webp,https://www.safepal.com/
Keystone Pro 3,Hardware Wallet,hardware;iOS; Android,self-custody,Yes,Yes,Yes,No,No,No,Yes,Yes,1.1.1,2025-06-27,"Air-gapped, fingerprint sensor, open-source firmware, large touchscreen. For Keystone 3 Pro.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752780479/keystone_ordha7.png,https://www.keyst.one/
Tangem Wallet,Hardware Wallet (Card),hardware;iOS; Android,self-custody,No,No,No,No,No,No,Yes,No,5.22,2025-04-07,"Card-shaped hardware wallet, no cables or batteries, relies on NFC. Enhanced security, Sui/Kaspa support.",https://res.cloudinary.com/dwuuum7az/image/upload/v1752780480/tangem-logo_rcfbkk.webp,https://tangem.com/
